[rosmaster.main][INFO] 2024-03-04 01:28:13,256: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-04 01:28:13,256: Starting ROS Master Node
[rosmaster.master][INFO] 2024-03-04 01:28:43,913: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ ['http://DESKTOP-LL832F4:45533/']
[rosmaster.master][INFO] 2024-03-04 01:28:43,914: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ ['http://DESKTOP-LL832F4:45533/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-03-04 01:31:02,190: -SUB [/CollisionData] /Collision_listener_3115_1709483323768 http://DESKTOP-LL832F4:45533/
[rosmaster.master][INFO] 2024-03-04 01:31:02,191: -PUB [/rosout] /Collision_listener_3115_1709483323768 http://DESKTOP-LL832F4:45533/
[rosmaster.master][INFO] 2024-03-04 01:31:02,191: -SERVICE [/Collision_listener_3115_1709483323768/set_logger_level] /Collision_listener_3115_1709483323768 rosrpc://DESKTOP-LL832F4:38449
[rosmaster.master][INFO] 2024-03-04 01:31:02,191: -SERVICE [/Collision_listener_3115_1709483323768/get_loggers] /Collision_listener_3115_1709483323768 rosrpc://DESKTOP-LL832F4:38449
[rosmaster.master][INFO] 2024-03-04 01:31:02,282: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ []
[rosmaster.master][INFO] 2024-03-04 01:31:02,282: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-03-04 01:31:04,523: +PUB [/rosout] /Collision_listener_3160_1709483464393 http://DESKTOP-LL832F4:33881/
[rosmaster.master][INFO] 2024-03-04 01:31:04,525: +SERVICE [/Collision_listener_3160_1709483464393/get_loggers] /Collision_listener_3160_1709483464393 http://DESKTOP-LL832F4:33881/
[rosmaster.master][INFO] 2024-03-04 01:31:04,526: +SERVICE [/Collision_listener_3160_1709483464393/set_logger_level] /Collision_listener_3160_1709483464393 http://DESKTOP-LL832F4:33881/
[rosmaster.master][INFO] 2024-03-04 01:31:04,527: +SUB [/CollisionData] /Collision_listener_3160_1709483464393 http://DESKTOP-LL832F4:33881/
[rosmaster.master][INFO] 2024-03-04 01:31:04,586: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ ['http://DESKTOP-LL832F4:33881/']
[rosmaster.master][INFO] 2024-03-04 01:31:04,587: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ ['http://DESKTOP-LL832F4:33881/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-03-04 01:32:34,157: -SUB [/ctrl_cmd] /rosbridge_websocket http://DESKTOP-LL832F4:38555/
[rosmaster.master][INFO] 2024-03-04 01:32:34,158: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,160: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,168: -SUB [/SetTrafficLight] /rosbridge_websocket http://DESKTOP-LL832F4:38555/
[rosmaster.master][INFO] 2024-03-04 01:32:34,171: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,172: -SUB [/SensorPosControl] /rosbridge_websocket http://DESKTOP-LL832F4:38555/
[rosmaster.master][INFO] 2024-03-04 01:32:34,173: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,176: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,177: -SUB [/InsnControl] /rosbridge_websocket http://DESKTOP-LL832F4:38555/
[rosmaster.master][INFO] 2024-03-04 01:32:34,179: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,180: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,182: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,185: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,187: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,189: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,192: -SUB [/SaveSensorData] /rosbridge_websocket http://DESKTOP-LL832F4:38555/
[rosmaster.master][INFO] 2024-03-04 01:32:34,196: -SUB [/lamps] /rosbridge_websocket http://DESKTOP-LL832F4:38555/
[rosmaster.master][INFO] 2024-03-04 01:32:34,197: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,200: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,202: -SUB [/ScenarioLoad] /rosbridge_websocket http://DESKTOP-LL832F4:38555/
[rosmaster.master][INFO] 2024-03-04 01:32:34,204: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-04 01:32:34,206: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
